id_jugador,nombre_completo
852,Erik McCree
853,Luke Kornet
854,Isaiah Hicks
855,PJ Dozier
856,Frank Jackson
857,Andrew White
858,Trey McKinney-Jones
859,Walt Lemon Jr.
860,Shaquille Harrison
861,Jaylen Morris
862,Amile Jefferson
863,Justin Patton
864,Xavier Rathan-Mayes
865,Rodney Purvis
866,Jameel Warney
867,Damion Lee
868,Chris Boucher
869,Xavier Silas
870,Omari Johnson
871,Edmond Sumner
872,Andre Ingram
873,Aaron Jackson
874,Landry Shamet
875,Jonah Bolden
876,Shake Milton
877,Brad Wanamaker
878,Hamidou Diallo
879,Deonte Burton
880,Jacob Evans
881,Donte DiVincenzo
882,Miles Bridges
883,Rodions Kurucs
884,Džanan Musa
885,Theo Pinson
886,Bruce Brown
887,Zach Lofton
888,Jaren Jackson Jr.
889,Aaron Holiday
890,Yante Maten
891,Duncan Robinson
892,Mo Bamba
893,Isaiah Briscoe
894,Trae Young
895,Omari Spellman
896,Kevin Huerter
897,Jaylen Adams
898,Allonzo Trier
899,Kevin Knox
900,Mitchell Robinson
901,Collin Sexton
902,Kenrich Williams
903,Gary Clark
904,Isaiah Hartenstein
905,Keita Bates-Diop
906,Josh Okogie
907,Drew Eubanks
908,Chimezie Metu
909,Grayson Allen
910,Marvin Bagley III
911,Harry Giles
912,Wenyen Gabriel
913,Thomas Welsh
914,Shai Gilgeous-Alexander
915,Jerome Robinson
916,Luka Dončić
917,Jalen Brunson
918,Ryan Broekhoff
919,Ray Spalding
920,Deandre Ayton
921,Elie Okobo
922,Mikal Bridges
923,Wendell Carter Jr.
924,Chandler Hutchison
925,Rawle Alkins
926,Troy Brown Jr.
927,Isaac Bonga
928,Svi Mykhailiuk
929,Alize Johnson
930,Jordan Loyd
931,Robert Williams
932,Melvin Frazier
933,Devonte' Graham
934,Daryl Macon
935,Johnathan Williams
936,DeVaughn Akoon-Purcell
937,De'Anthony Melton
938,Yuta Watanabe
939,Anfernee Simons
940,Jevon Carter
941,Moritz Wagner
942,Vince Edwards
943,Gary Trent Jr.
944,Jared Terrell
945,Khyri Thomas
946,Marcus Derrickson
947,Tyler Davis
948,Brandon Goodwin
949,Jaron Blossomgame
950,George King
951,Trevon Duval
952,Keenan Evans
953,Lonnie Walker IV
954,Trevon Bluiett
955,Troy Caupain
956,Donte Grantham
957,J.P. Macura
958,Haywood Highsmith
959,Deng Adel
960,Kostas Antetokounmpo
